name	description	organism	scientificName	sourceName	taxId	orderKey
tupBel1	Dec. 2006 (Broad/tupBel1)	Tree shrew	Tupaia belangeri	Broad Institute tupBel1 (NCBI project 13971, AAPY01000000)	37347	20715
melGal5	Nov. 2014 (Turkey_5.0/melGal5)	Turkey	Meleagris gallopavo	Turkey Genome Consortium	9103	20834
melGal1	Dec. 2009 (TGC Turkey_2.01/melGal1)	Turkey	Meleagris gallopavo	TGC (NCBI Project ID: 10805, Accession: GCA_000146605.1)	9103	20835
macEug2	Sep. 2009 (TWGS Meug_1.1/macEug2)	Wallaby	Macropus eugenii	TWGS (NCBI Project ID: 12586, Accession: GCA_000004035.1)	9315	23019
cerSim1	May 2012 (CerSimSim1.0/cerSim1)	White rhinoceros	Ceratotherium simum	Broad Institute	73337	23265
xenTro10	Nov. 2019 (UCB_Xtro_10.0/xenTro10)	X. tropicalis	Xenopus tropicalis	University of California, Berkeley	8364	24035
xenTro9	Jul. 2016 (Xenopus_tropicalis_v9.1/xenTro9)	X. tropicalis	Xenopus tropicalis	DOE Joint Genome Institute	8364	24036
xenTro7	Sep. 2012 (JGI 7.0/xenTro7)	X. tropicalis	Xenopus tropicalis	US DOE Joint Genome Institute (JGI-PGF)	8364	24037
xenTro3	Nov. 2009 (JGI 4.2/xenTro3)	X. tropicalis	Xenopus tropicalis	US DOE Joint Genome Institute (JGI-PGF) (GCA_000004195.1)	8364	24038
xenTro2	Aug. 2005 (JGI 4.1/xenTro2)	X. tropicalis	Xenopus tropicalis	JGI v4.1	8364	24039
xenTro1	Oct. 2004 (JGI 3.0/xenTro1)	X. tropicalis	Xenopus tropicalis	JGI v3.0	8364	24040
taeGut2	Feb. 2013 (WashU taeGut324/taeGut2)	Zebra finch	Taeniopygia guttata	Washington University School of Medicine	59729	26159
taeGut1	Jul. 2008 (WUGSC 3.2.4/taeGut1)	Zebra finch	Taeniopygia guttata	Washington University taeGut1	59729	26160
danRer11	May 2017 (GRCz11/danRer11)	Zebrafish	Danio rerio	Genome Reference Consortium Zebrafish Build 11 (GCA_000002035.4)	7955	26172
danRer10	Sep. 2014 (GRCz10/danRer10)	Zebrafish	Danio rerio	Genome Reference Consortium Zebrafish Build 10 (GCA_000002035.3)	7955	26173
danRer7	Jul. 2010 (Zv9/danRer7)	Zebrafish	Danio rerio	Wellcome Trust Sanger Institute Zv9 (GCA_000002035.2)	7955	26174
danRer6	Dec. 2008 (Zv8/danRer6)	Zebrafish	Danio rerio	Wellcome Trust Sanger Institute, Zv8 assembly (CAAK00000000.5)	7955	26175
danRer5	July 2007 (Zv7/danRer5)	Zebrafish	Danio rerio	Wellcome Trust Sanger Institute, Zv7 assembly	7955	26176
danRer4	Mar. 2006 (Zv6/danRer4)	Zebrafish	Danio rerio	Sanger Centre, Danio rerio Sequencing Project Zv6	7955	26177
danRer3	May 2005 (Zv5/danRer3)	Zebrafish	Danio rerio	Sanger Centre, Danio rerio Sequencing Project Zv5	7955	26178
